outcome,model,mae,rmse,pearson_r,spearman_rho,alpha,ci_low,ci_high
valence,participant-mean baseline,1.149423966143371,1.4355803893714123,0.2342878269281274,0.1918617739796761,,,
valence,"ridge (alpha=1.0, untuned)",1.2288956592910647,1.5127670763634602,-0.1035480401024816,-0.1058329166673748,1.0,,
valence,"ridge (tuned, PRIMARY, grid to 100)",1.2162500074309208,1.4970960232060415,-0.1268252044500899,-0.1470773379766114,100.0 (all folds),-0.239119887097036,-0.0194883119599258
valence,"ridge (tuned, EXPLORATORY, grid to 5000)",1.2004178022095733,,,,5000.0 (all folds),,
valence,"ridge (tuned, leave-one-clip-out)",1.1984607445572275,1.4734986283873384,0.0118140812013565,0.0100328264490149,"grid to 100, per-fold",-0.0453078469437415,0.0676759514774262
arousal,participant-mean baseline,0.9190723624568284,1.180743518067388,0.4629018579661467,0.4455582343924257,,,
arousal,"ridge (alpha=1.0, untuned)",1.1086442792991271,1.3690024306389676,0.0415280371970779,0.0339852063433947,1.0,,
arousal,"ridge (tuned, PRIMARY, grid to 100)",1.1071755854628853,1.361775258515495,0.0234499974377982,0.0122073427584753,100.0 (all folds),-0.1108519424766141,0.1599884939012096
arousal,"ridge (tuned, EXPLORATORY, grid to 5000)",1.088068374242764,,,,"scattered, see notes",,
arousal,"ridge (tuned, leave-one-clip-out)",1.0452558487903,1.2970447328298018,0.2215251907215123,0.1979925482763986,"grid to 100, per-fold",0.1579132479447811,0.284483383916182
