outcome,model,outer_fold,n_test_tracks,mae,rmse,pearson_r,spearman_rho,ccc,best_parameters
arousal,dummy_mean,0,154,0.1486963874031912,0.18479782515840476,0.0,0.0,0.0,{}
arousal,dummy_mean,1,154,0.15501728825082858,0.18397761273778246,0.0,0.0,0.0,{}
arousal,dummy_mean,2,153,0.15687626891640857,0.1870458705807996,0.0,0.0,0.0,{}
arousal,dummy_mean,3,153,0.14954276671680042,0.18169502561609555,0.0,0.0,0.0,{}
arousal,dummy_mean,4,153,0.15566067360711863,0.1869863130839925,0.0,0.0,-5.345611305184028e-31,{}
arousal,elastic_net,0,154,0.07871821088033118,0.09920801815476621,0.846946994648221,0.8632460930732226,0.8397462464266447,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.1}"
arousal,elastic_net,1,154,0.07881715233770889,0.10184185910552479,0.8310481103013783,0.8312392156978595,0.8176784015523092,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.1}"
arousal,elastic_net,2,153,0.0754211249836212,0.09793639717697569,0.8528832562707542,0.864358010489895,0.8413530719071038,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.1}"
arousal,elastic_net,3,153,0.08106660520790623,0.10330379102015756,0.8212967991713054,0.828537017542878,0.8141335328212826,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.1}"
arousal,elastic_net,4,153,0.07363375039080773,0.09424707144767995,0.8638723802578054,0.8580463227467287,0.8544004353726865,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.1}"
arousal,ridge,0,154,0.07784311075804619,0.09763335637162039,0.8511676085239843,0.8692480820726676,0.8424339621171888,"{""model__alpha"": 100.0}"
arousal,ridge,1,154,0.07936672319336674,0.10287959187626325,0.8272562961676031,0.8287048195127759,0.8137525159755956,"{""model__alpha"": 100.0}"
arousal,ridge,2,153,0.07849267107696892,0.10118512310908787,0.8417470795188162,0.8589064873763568,0.8293617108098862,"{""model__alpha"": 100.0}"
arousal,ridge,3,153,0.08150873590221681,0.10318371986515218,0.8208728049864367,0.8225124211531437,0.8117707432573629,"{""model__alpha"": 100.0}"
arousal,ridge,4,153,0.07348399805329536,0.09505308702873147,0.8613032985791494,0.8533249218041006,0.8498815893969633,"{""model__alpha"": 100.0}"
arousal,svr_rbf,0,154,0.08659311069845693,0.1062273997412825,0.8213988782923365,0.8411823739282207,0.7903740256427617,"{""model__C"": 1, ""model__epsilon"": 0.03, ""model__gamma"": ""scale""}"
arousal,svr_rbf,1,154,0.08533663766439491,0.10679145777623776,0.8139774912832154,0.8112894745211109,0.7872560255878055,"{""model__C"": 1, ""model__epsilon"": 0.03, ""model__gamma"": ""scale""}"
arousal,svr_rbf,2,153,0.08457395079471884,0.10619565457997858,0.8258316410533433,0.8285468830957362,0.7949158304042541,"{""model__C"": 1, ""model__epsilon"": 0.03, ""model__gamma"": ""scale""}"
arousal,svr_rbf,3,153,0.08141791992568134,0.10695160805814743,0.8048604670752668,0.8283208359199918,0.7859319815872295,"{""model__C"": 10, ""model__epsilon"": 0.03, ""model__gamma"": ""scale""}"
arousal,svr_rbf,4,153,0.07823142045055903,0.10321900278279424,0.8357065451758035,0.841912774477741,0.8152962371049276,"{""model__C"": 1, ""model__epsilon"": 0.03, ""model__gamma"": ""scale""}"
valence,dummy_mean,0,154,0.12823826681253236,0.1558934229565046,0.0,0.0,-4.215548813076192e-31,{}
valence,dummy_mean,1,154,0.1418912060799972,0.175021039275544,0.0,0.0,-2.0903028325308854e-32,{}
valence,dummy_mean,2,153,0.12647741062667106,0.14775109793253904,0.0,0.0,0.0,{}
valence,dummy_mean,3,153,0.12499124217843881,0.15630516644698245,0.0,0.0,3.4293807175090766e-31,{}
valence,dummy_mean,4,153,0.14954651661276175,0.17361599937025068,0.0,0.0,2.1381566818078438e-31,{}
valence,elastic_net,0,154,0.08734929214163994,0.10773425640693537,0.733358676425238,0.7156112692548291,0.7250275625498803,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.1}"
valence,elastic_net,1,154,0.1028729362417825,0.13064238248030224,0.6744411552031956,0.6686521689109922,0.6542712045232637,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.5}"
valence,elastic_net,2,153,0.08349061671921351,0.1041802600743478,0.7122287224265685,0.7167955021339231,0.6835852177517415,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.5}"
valence,elastic_net,3,153,0.08186180016441663,0.10981016338897515,0.7118997677087597,0.7284502555338861,0.6729479288482915,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.1}"
valence,elastic_net,4,153,0.09576467393988661,0.12386486711860414,0.701218070285417,0.6715747250369523,0.6354618305130209,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.1}"
valence,ridge,0,154,0.08769581512737143,0.10813494702832062,0.7283378904531705,0.7091759604600115,0.7174870699317747,"{""model__alpha"": 100.0}"
valence,ridge,1,154,0.10494243865376772,0.13230385134440734,0.6689425519169419,0.6497164993560622,0.6537160892633936,"{""model__alpha"": 10.0}"
valence,ridge,2,153,0.08227345304299002,0.10422046603951357,0.7168173113335642,0.7177827625799212,0.7031977693725012,"{""model__alpha"": 100.0}"
valence,ridge,3,153,0.0818321902233811,0.1099560624669721,0.7098436201620666,0.7237122014555439,0.667745530840852,"{""model__alpha"": 100.0}"
valence,ridge,4,153,0.09480091587059464,0.1227149470474151,0.7084415203412802,0.6809303650675899,0.6418732775234884,"{""model__alpha"": 100.0}"
