outcome,model,n_tracks,mae,rmse,pearson_r,spearman_rho,ccc,mean_fold_ccc,std_fold_ccc,mean_fold_rmse,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,pearson_r_ci_low,pearson_r_ci_high,spearman_rho_ci_low,spearman_rho_ci_high,ccc_ci_low,ccc_ci_high,bootstrap_resamples,analysis_role,eligible_for_primary_selection,interpretation
arousal,dummy_mean,767,0.1531552823526586,0.184910032318079,-0.0647993529435625,-0.0683857535086515,-0.002099756230232,-1.0691222610368056e-31,2.138244522073611e-31,0.1849005294354149,0.1454667191155927,0.1605745037918156,0.1766499931657566,0.1925787925679906,-0.1344258072965416,0.0061741715580854,-0.1395908131789904,0.0037231629922885,-0.00437871037983,0.0002035709950932,2000,primary_core,True,Prespecified Stage B comparison
arousal,elastic_net,767,0.077534592522393,0.0993607380528406,0.8432457424983125,0.8493895509273384,0.8344477714108557,0.8334623376160055,0.015250511255147,0.0993074273810208,0.0732649147659738,0.0819662320908147,0.0941300041855376,0.1046734182558023,0.8229279187530663,0.8626042739419517,0.8288862685494395,0.8678480410839553,0.8137170161429074,0.8540748675645741,2000,primary_core,True,Prespecified Stage B comparison
arousal,ridge,767,0.0781402625795139,0.1000375373627774,0.8407347196557988,0.84560791951293,0.8304287736069687,0.8294401043113993,0.0151327958194977,0.099986975650171,0.0740496910957572,0.0827791301998236,0.0948155388289033,0.1057412132073293,0.8186531534218274,0.8594698735541318,0.8222002140485201,0.8649518752699807,0.8071001805773041,0.849720251654907,2000,primary_core,True,Prespecified Stage B comparison
arousal,svr_rbf,767,0.0832377376754053,0.1058874213140015,0.8203135430072909,0.8285657864956469,0.7958419905046024,0.7947548200653957,0.0107260570157306,0.1058770245876881,0.0787185668034227,0.0880053061431384,0.1000862973025722,0.1117455017132057,0.7975403515255521,0.8421012374856325,0.8035280823271436,0.849182242991076,0.7718454580889329,0.8180536912131179,2000,primary_core,True,Prespecified Stage B comparison
arousal,random_forest_optional,767,0.07917477066165009,0.10096187165476989,0.8383385139576668,0.8399589074190044,0.8174131047566837,0.8165708034698511,0.02828899859515177,0.1007012701921075,0.07463922796213526,0.08366646992002554,0.09543580053662742,0.1064307370554383,0.8166087910845765,0.8601611424248549,0.8169782761168397,0.8621716376067673,0.7955229215366673,0.8387036705969091,2000,optional_afterthought,False,Exploratory only; does not revise frozen primary winners
valence,dummy_mean,767,0.1342311078831602,0.1620832947275895,-0.0668954689936656,-0.0768023588394291,-0.0022306601646276,2.28591660597528e-32,2.6032917938584555e-31,0.1617173451963641,0.1277991482393078,0.1408219159354816,0.1552598267982759,0.168905383181752,-0.1361840240825428,0.0018555314054934,-0.1447032360853255,-0.0078210048996451,-0.0045180341093181,6.0313948634903734e-05,2000,primary_core,True,Prespecified Stage B comparison
valence,elastic_net,767,0.0902804929166168,0.1157072251518848,0.7012265087869821,0.7012740595812043,0.6737656211532893,0.6742587488372396,0.0302353320352354,0.1152463858938329,0.0850236806866404,0.0952708797422503,0.1090418138014101,0.1218012814463689,0.6649549245178528,0.7353455268375761,0.663480064082336,0.7379100919722167,0.6358443192554154,0.7090739669933144,2000,primary_core,True,Prespecified Stage B comparison
valence,ridge,767,0.0903246344592584,0.1159515071709678,0.7006569299389757,0.6983698829802862,0.6758726817637458,0.676803947386402,0.0289378855453138,0.1154660547853257,0.0853269706573139,0.0955198200915616,0.1093338369120886,0.1226613801051512,0.6608025983291299,0.7360801250467816,0.6575767899233874,0.7338120498208988,0.6354584287117713,0.7127068273871625,2000,primary_core,True,Prespecified Stage B comparison
valence,svr_rbf,767,0.0915855424510719,0.1161299884850164,0.6968756536219451,0.69873780990532,0.6559342867733036,0.6567015540571104,0.0158183953998785,0.1158103896855433,0.0866317484521997,0.0965820648144656,0.1099785046991926,0.1221930962119765,0.6615565903430788,0.7286100117654343,0.6617283132700426,0.7311523061017141,0.6199098381835568,0.6879106117288573,2000,primary_core,True,Prespecified Stage B comparison
valence,random_forest_optional,767,0.09071227982090854,0.11401727198833433,0.7119903315192941,0.7110114137139921,0.6535569683017788,0.655594623839502,0.03153243031071505,0.11356916126509717,0.08600445828040756,0.09583082343415728,0.10833990915505856,0.11989247415064298,0.6783254222314408,0.7440671463726273,0.6741692743717403,0.743126308373671,0.6202199942251816,0.6832219278705172,2000,optional_afterthought,False,Exploratory only; does not revise frozen primary winners
