outcome,model,outer_fold,n_test_tracks,mae,rmse,pearson_r,spearman_rho,ccc,best_parameters
arousal,random_forest_optional,0,154,0.0767717449734373,0.0966188999344759,0.8546098219500543,0.8622320659065584,0.8333067772568704,"{""model__max_depth"": null, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
arousal,random_forest_optional,1,154,0.0887926087262496,0.1142430851102088,0.7821139576591225,0.7873885735331164,0.7623774512650235,"{""model__max_depth"": null, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 600}"
arousal,random_forest_optional,2,153,0.0748527697316268,0.0953995412854505,0.8649516229253615,0.8687051518844595,0.8376072834977067,"{""model__max_depth"": null, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
arousal,random_forest_optional,3,153,0.0798461730692309,0.1011618908882302,0.827626221216498,0.8301776517196653,0.8146085312527065,"{""model__max_depth"": 10, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
arousal,random_forest_optional,4,153,0.0755634011712587,0.0960829337421722,0.8636254560773851,0.8570021506532757,0.8349539740769488,"{""model__max_depth"": 10, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
valence,random_forest_optional,0,154,0.0920043093474146,0.1091741193687372,0.7168431572834647,0.7093617050050471,0.6739950998151126,"{""model__max_depth"": null, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
valence,random_forest_optional,1,154,0.1004995178942209,0.1276480651938405,0.6863322588080842,0.6742929308164276,0.6200344321569696,"{""model__max_depth"": null, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
valence,random_forest_optional,2,153,0.08223633475276,0.1022541547682751,0.7229482057833154,0.7286292181759385,0.6859585299141787,"{""model__max_depth"": 20, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
valence,random_forest_optional,3,153,0.0786425043838533,0.1057660613341531,0.7439276714509329,0.7689491372986751,0.683338008300894,"{""model__max_depth"": 10, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 600}"
valence,random_forest_optional,4,153,0.1001063192125693,0.1230034056604799,0.7186480641603263,0.6880484953452892,0.6146470490103544,"{""model__max_depth"": null, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
