ds002721_stimulus_id,attempted,retained
302,1,0
303,22,17
304,1,1
305,4,4
306,1,1
307,3,3
308,1,1
309,2,2
310,1,1
311,6,5
312,2,2
313,3,3
314,1,1
315,5,5
316,8,8
318,2,1
319,3,3
320,1,1
321,1,1
322,2,2
324,3,3
325,3,3
326,1,1
327,1,1
328,2,0
329,3,3
330,7,7
331,3,3
332,19,17
333,7,6
334,1,1
335,2,2
336,3,3
337,3,1
338,3,3
339,1,1
340,16,15
341,1,1
342,5,3
343,3,1
344,2,2
345,5,4
346,3,2
347,4,4
348,2,2
349,2,1
350,1,0
351,3,3
352,1,0
353,1,0
354,3,2
355,15,14
356,2,2
357,1,1
358,1,1
359,2,1
360,12,9
361,1,1
362,1,1
363,4,4
364,6,5
365,2,2
367,2,2
368,2,2
369,14,12
370,3,3
371,2,1
372,1,1
373,3,3
374,7,6
375,5,5
376,2,2
377,1,1
379,2,2
381,6,5
383,2,2
384,1,1
385,4,3
386,2,2
387,4,3
388,1,1
389,3,3
390,1,0
391,14,11
392,5,5
393,2,1
394,3,3
395,2,2
397,1,1
399,6,6
400,4,4
401,4,2
402,2,1
403,4,3
404,1,0
405,2,2
406,1,1
407,1,0
409,1,1
410,2,1
411,3,2
412,16,14
413,15,13
414,1,1
415,3,2
416,3,3
418,2,1
419,14,13
420,2,2
421,8,8
422,1,1
423,17,12
424,1,1
425,1,1
426,3,2
427,2,2
428,5,5
429,2,1
430,2,1
431,6,6
432,1,1
433,10,10
434,1,1
435,15,10
436,4,3
437,1,0
438,2,2
439,2,2
440,16,12
441,2,1
442,2,2
443,5,5
444,4,4
445,4,3
446,4,3
447,18,17
448,18,16
449,1,0
450,8,8
451,7,6
452,11,11
453,3,2
454,3,2
455,3,1
456,3,3
458,4,3
459,1,1
460,19,16
461,1,1
462,2,2
463,15,11
464,6,5
465,5,3
466,21,17
467,2,2
468,2,2
469,1,1
470,17,13
471,6,6
472,1,1
473,5,4
474,18,15
475,5,5
476,17,10
478,2,1
479,2,0
480,1,1
481,2,2
482,6,5
483,2,2
484,5,5
485,3,3
486,13,11
487,4,3
488,5,3
489,1,1
490,4,4
491,1,1
492,3,2
493,2,2
495,4,4
496,4,4
498,1,1
499,3,3
500,3,2
501,6,4
502,5,4
503,2,2
504,5,5
505,1,0
506,1,1
507,3,3
508,4,2
509,4,3
510,2,2
511,16,14
512,2,2
513,4,3
514,13,12
515,1,1
516,1,0
520,1,1
523,1,1
524,2,1
525,1,1
526,1,1
527,1,0
530,1,1
531,1,1
532,10,10
533,1,1
534,1,1
535,1,1
538,1,1
540,1,1
542,1,1
543,1,1
544,1,1
545,1,1
548,1,1
549,1,1
550,2,2
551,1,1
554,1,0
555,1,0
556,1,1
557,1,0
558,1,1
560,1,1
561,1,1
562,1,0
565,1,1
566,1,1
570,3,1
571,10,8
572,1,0
573,1,1
574,1,1
575,1,1
576,1,1
577,1,1
580,1,1
582,1,1
584,1,0
585,1,1
586,1,0
588,1,1
589,3,2
590,1,1
591,16,12
593,2,1
594,1,1
595,1,0
596,11,9
599,1,1
601,1,1
603,15,12
604,10,9
605,1,1
606,11,10
607,1,0
610,1,0
612,1,0
614,1,0
615,1,0
616,1,0
617,1,0
618,2,2
619,1,1
620,1,1
622,1,1
625,1,1
626,2,2
628,1,1
629,1,1
631,1,1
632,1,1
633,14,11
634,1,1
635,2,1
637,1,1
639,1,1
640,1,1
641,1,0
642,1,1
643,14,11
644,2,2
645,1,1
646,1,1
648,1,0
650,1,0
651,1,1
654,1,1
655,1,0
656,1,1
657,14,11
