participant_id,attempted,retained,retained_pct
sub-01,36,33,91.7
sub-02,36,3,8.3
sub-03,36,28,77.8
sub-04,36,36,100.0
sub-05,36,36,100.0
sub-06,36,22,61.1
sub-07,36,35,97.2
sub-08,36,35,97.2
sub-09,36,35,97.2
sub-10,36,36,100.0
sub-11,36,35,97.2
sub-12,36,30,83.3
sub-13,37,34,91.9
sub-14,36,36,100.0
sub-15,36,36,100.0
sub-16,37,34,91.9
sub-17,36,28,77.8
sub-18,37,22,59.5
sub-19,36,36,100.0
sub-20,36,35,97.2
sub-21,36,30,83.3
sub-22,36,36,100.0
sub-23,36,36,100.0
sub-24,36,21,58.3
sub-25,36,29,80.6
sub-26,36,14,38.9
sub-27,36,36,100.0
sub-28,36,31,86.1
sub-29,36,0,0.0
sub-30,36,36,100.0
sub-31,36,33,91.7
